"","continent","location","date","total_vaccinations","population_density","human_development_index","gdp_per_capita","total_cases","total_deaths","life_expectancy","aged_65_older","gdp","popdens","hdi","vaccine","cases","deaths","lifeexp","aged65older"
"73","North America","Guatemala","2021-05-19",0,157.834,0.663,7423.808,243833,7928,0.27376928552073,-0.469016591729797,-0.516988295547135,-0.129411431017554,-0.0517108477888074,-0.155065414483776,-0.180357158779179,-0.153178705338427,0.185982936673415,-0.520695606694205
"74","Africa","Guinea","2021-05-19",0,51.755,0.477,1998.926,22879,153,-0.45772719752661,-0.711798084124954,-0.781788152240541,-0.179361655908408,-0.855936820071832,-0.155065414483776,-0.248014560402178,-0.280787354580436,-1.02007398510746,-0.765343650728258
"75","Africa","Guinea-Bissau","2021-05-19",0,66.191,0.48,1548.675,3746,68,-0.646649123856946,-0.732510039537755,-0.803765846921469,-0.172564066880189,-0.842965433422106,-0.155065414483776,-0.253873196431636,-0.282182433060895,-1.33155955230756,-0.786214843708713
"76","South America","Guyana","2021-05-19",0,3.952,0.682,7435.047,15607,349,0.0209134146090903,-0.373866180021367,-0.516439696409057,-0.201871017803387,0.0304412676594586,-0.155065414483776,-0.250241289153875,-0.277570467731377,-0.230913904792573,-0.424813659994521
"77","North America","Haiti","2021-05-19",0,398.448,0.51,1653.173,13598,276,-0.319491641675144,-0.452509318994783,-0.798665080596091,-0.0161116882608562,-0.713251566924844,-0.155065414483776,-0.250856456654172,-0.278768593955771,-0.792157716424461,-0.504061422815045
"78","North America","Honduras","2021-05-19",0,82.805,0.634,4541.795,229211,6051,0.329639489344031,-0.475557209228576,-0.657665388502988,-0.164740906439983,-0.177100918736161,-0.155065414483776,-0.184834500336841,-0.183985320724568,0.278099095266128,-0.527286509740664
"79","Asia","Hong Kong","2021-05-19",2026556,7039.714,0.949,56054.92,0,0,0.88200573126718,1.33884123073036,1.85679817362233,3.11111170430485,1.18489467948509,-0.104203891127759,-0.255020243448118,-0.283298495845263,1.18881451887862,1.30106138059978
"80","Europe","Hungary","2021-05-19",7644400,108.043,0.854,26777.561,799588,29329,0.422372508061056,1.69296894959283,0.427708938582487,-0.152856897580592,0.77413410224376,0.0367900433188904,-0.0101817410950025,0.198069230665205,0.43099292550764,1.65791170268666
"81","Europe","Iceland","2021-05-19",220021,3.404,0.949,46482.958,6551,29,0.774297193999579,1.04731656507049,1.38957065312055,-0.202129058727982,1.18489467948509,-0.14954343372908,-0.253014289095482,-0.282822527893106,1.01122975952978,1.00729541624331
"82","Asia","India","2021-05-19",186410600,450.419,0.645,6426.674,25772440,287122,0.00651387754122932,-0.267347552184108,-0.565660495293438,0.00836029146936884,-0.129539167687165,4.52337775990137,7.63665098171475,4.42914530964209,-0.254655182780385,-0.317476096095039
"83","Asia","Indonesia","2021-05-19",0,145.725,0.718,11188.744,1753101,48669,0.125166062980404,-0.371685974188441,-0.333213881051143,-0.13511328787144,0.186097907456173,-0.155065414483776,0.281789492708189,0.515490616689701,-0.05902705216081,-0.422616692312368
"84","Asia","Iran","2021-05-19",0,49.831,0.783,19082.62,2792204,77765,0.410852878406767,-0.352842766632434,0.0521027458460896,-0.18026762441009,0.467144618200241,-0.155065414483776,0.599968882982466,0.99303418689491,0.411999903117391,-0.403628614488044
"85","Asia","Iraq","2021-05-19",0,88.125,0.674,15663.986,1151557,16069,0.0606561369163866,-0.703855905733579,-0.114767942454081,-0.162235837609967,-0.00414909673981132,-0.155065414483776,0.09759321655159,-0.0195630122864402,-0.165387977546211,-0.7573404113147
"86","Europe","Ireland","2021-05-19",0,69.874,0.955,67335.293,254870,4941,0.734554471692283,0.968984884073208,2.40741681451593,-0.170829824680762,1.21083745278454,-0.155065414483776,-0.176977565100346,-0.202203404410566,0.945703832283416,0.928361505948804
"87","Europe","Isle of Man","2021-05-19",79300,147.872,0,0,0,0,0.682716138247983,-1.20000846171239,-0.87935991847264,-0.13410231366504,-2.9183872973783,-0.153075181397628,-0.255020243448118,-0.283298495845263,0.860235231527292,-1.25730748526755
"88","Asia","Israel","2021-05-19",10543578,402.606,0.919,33132.32,839221,6395,0.77314523103415,0.627159755267967,0.737898039934577,-0.0141537792016063,1.05518081298783,0.109552212022964,0.00195411432524015,-0.17833935605071,1.00933045729075,0.583908358639793
"89","Europe","Italy","2021-05-19",28859336,205.859,0.892,35220.084,4172525,124646,0.80424823110073,2.38502857255888,0.839806175081047,-0.106797534295458,0.938438333140292,0.569232257035372,1.02263121209015,1.76247741327621,1.06061161774443,2.35529201550727
"90","North America","Jamaica","2021-05-19",0,266.879,0.734,8193.571,47572,892,0.283560970726876,0.308071058720387,-0.479414550701093,-0.0780645831662067,0.255278636254712,-0.155065414483776,-0.24045341999161,-0.268658378144443,0.202127005705128,0.262366445730379
"91","Asia","Japan","2021-05-19",7577142,347.778,0.919,39002.223,699931,11900,0.868758157164747,3.01230493648941,1.02442030405096,-0.0399710562339662,1.05518081298783,0.0351020345306413,-0.0406972948914632,-0.0879875085809658,1.16697254312983,2.98739100291533
"92","Asia","Jordan","2021-05-19",0,109.285,0.729,8337.49,726432,9295,0.287016859623162,-0.60668101718029,-0.472389562770395,-0.152272067601855,0.233659658505169,-0.155065414483776,-0.0325825343512101,-0.130742560835041,0.207824912422203,-0.659418423195875
"93","Asia","Kazakhstan","2021-05-19",2700694,6.681,0.825,24055.588,420863,3409,0.233450581730719,-0.111307106141806,0.294843733344231,-0.200585992834004,0.648744031296407,-0.087284701314016,-0.126149541766953,-0.227347642434844,0.11950735830754,-0.160235980558079
