"","continent","location","date","total_vaccinations","population_density","human_development_index","gdp_per_capita","total_cases","total_deaths","gdp","popdens","hdi","vaccine","cases","deaths"
"99","Europe","Latvia","2021-05-19",552553,31.212,0.866,25063.846,129297,2298,0.344058918837663,-0.189034894437549,0.826019648842665,-0.141197706256154,-0.215428749030054,-0.245582138808846
"100","Asia","Lebanon","2021-05-19",631679,594.561,0.744,13367.565,537043,7651,-0.226861062951029,0.0762335304348322,0.2985165917538,-0.139211840137937,-0.0905745491415198,-0.157725019915924
"101","Africa","Lesotho","2021-05-19",0,73.562,0.527,2851.153,10806,320,-0.740189166775004,-0.169093228093337,-0.639747042576395,-0.155065414483776,-0.251711383314614,-0.278046435683534
"102","Africa","Liberia","2021-05-19",0,49.127,0.48,752.788,2142,85,-0.842614758942808,-0.180599122240228,-0.842965433422106,-0.155065414483776,-0.254364350573237,-0.281903417364803
"103","Africa","Libya","2021-05-19",0,3.623,0.724,17881.509,182350,3097,-0.00652599864510361,-0.202025936533664,0.212040680755625,-0.155065414483776,-0.199183611452527,-0.232468401092529
"104","Europe","Liechtenstein","2021-05-19",0,237.012,0.919,0,2993,58,-0.87935991847264,-0.0921282844342722,1.05518081298783,-0.155065414483776,-0.254103769417063,-0.282346559940949
"105","Europe","Lithuania","2021-05-19",1383714,45.135,0.882,29524.265,267769,4136,0.56178131574741,-0.18247886561794,0.895200377641205,-0.120337629054186,-0.173027816177334,-0.215415618254915
"106","Europe","Luxembourg","2021-05-19",0,231.447,0.916,94277.965,69398,808,3.72254508542347,-0.0947487182761975,1.0422094263381,-0.155065414483776,-0.23377017167828,-0.270037043936897
"107","Asia","Macao","2021-05-19",138414,20546.766,0,104861.851,0,0,4.23916673655972,9.47127992810457,-2.9183872973783,-0.151591566786599,-0.255020243448118,-0.283298495845263
"108","Africa","Madagascar","2021-05-19",0,43.951,0.528,1416.44,40385,777,-0.810220514331719,-0.183036384695898,-0.635423247026486,-0.155065414483776,-0.242654121248272,-0.270545837265064
